horas_estudio_semanal,nota_anterior,tasa_asistencia,horas_sueno,edad,nivel_dificultad,tiene_tutor,horario_estudio_preferido,estilo_aprendizaje,nota_final,aprobado,tiene_tutor_ml
16.16,89.3,100.0,6.75,18,medio,si,manana,visual,74.4,1,1
7.58,82.24,100.0,4.53,28,facil,no,tarde,visual,64.1,1,0
5.23,58.83,44.57,4.44,23,medio,no,manana,visual,48.8,0,0
14.57,91.17,72.1,9.12,29,dificil,si,manana,kinestesico,77.4,1,1
13.31,58.88,55.77,7.01,19,medio,no,noche,auditivo,66.6,1,0
13.61,67.49,57.08,6.34,19,facil,si,tarde,auditivo,74.7,1,1
1.78,71.64,100.0,5.74,24,medio,no,manana,kinestesico,69.6,1,0
17.77,67.41,79.12,8.12,27,facil,si,tarde,kinestesico,63.5,1,1
11.0,82.72,89.5,8.24,18,medio,no,tarde,auditivo,60.8,1,0
7.32,47.87,100.0,8.64,23,medio,no,manana,visual,72.1,1,0
15.54,72.4,88.98,6.49,24,medio,no,noche,visual,72.4,1,0
11.33,77.51,54.11,8.67,25,facil,no,noche,visual,69.6,1,0
4.46,51.12,60.95,6.96,24,dificil,no,noche,auditivo,45.1,0,0
3.62,30.0,47.04,7.01,23,medio,no,noche,kinestesico,57.1,0,0
7.08,45.48,52.29,5.68,26,medio,si,noche,lectura_escritura,68.3,1,1
9.69,52.61,87.97,5.7,20,medio,no,noche,visual,66.7,1,0
7.72,48.73,74.57,6.87,28,medio,no,noche,visual,62.3,1,0
10.85,52.75,77.54,7.31,23,medio,si,noche,auditivo,69.8,1,1
12.53,66.41,95.8,8.72,21,medio,si,manana,visual,59.0,0,1
13.43,58.58,88.04,6.59,19,medio,si,noche,visual,82.2,1,1
8.56,72.36,70.98,6.01,18,facil,no,noche,lectura_escritura,70.5,1,0
5.71,66.02,65.78,7.01,29,dificil,no,noche,visual,48.5,0,0
17.38,71.72,100.0,8.18,29,medio,si,manana,lectura_escritura,79.5,1,1
13.17,99.65,43.75,5.04,18,facil,no,noche,kinestesico,78.4,1,0
9.16,71.6,95.38,7.01,28,medio,no,noche,kinestesico,72.8,1,0
17.69,90.77,98.69,6.01,27,dificil,si,noche,visual,74.6,1,1
14.44,81.02,79.27,9.76,20,dificil,si,tarde,visual,68.0,1,1
15.35,58.33,61.65,6.83,21,medio,si,noche,visual,78.2,1,1
6.96,52.83,71.6,5.99,19,facil,no,tarde,visual,59.9,0,0
9.17,57.33,69.85,7.01,29,medio,si,noche,visual,53.4,0,1
1.0,51.29,88.41,7.01,28,facil,no,tarde,visual,62.6,1,0
5.39,74.14,85.59,7.58,28,dificil,no,noche,visual,76.0,1,0
19.8,100.0,52.86,9.03,28,facil,si,manana,visual,79.9,1,1
8.91,61.54,50.69,6.36,18,facil,no,tarde,kinestesico,79.5,1,0
13.64,88.07,97.14,5.11,21,medio,si,noche,visual,82.8,1,1
5.09,70.02,69.9,9.87,24,medio,no,noche,visual,72.5,1,0
11.48,82.78,80.83,4.37,27,medio,no,tarde,auditivo,71.8,1,0
5.25,63.08,55.93,7.01,28,medio,no,noche,lectura_escritura,61.1,1,0
8.83,55.03,81.51,5.48,23,facil,si,noche,visual,69.4,1,1
3.17,66.76,92.03,5.7,23,facil,no,manana,visual,58.4,0,0
9.65,70.85,65.33,7.95,28,medio,no,tarde,auditivo,72.8,1,0
14.35,45.62,80.93,7.49,26,facil,si,manana,lectura_escritura,60.8,1,1
7.4,57.12,72.66,6.64,19,medio,no,tarde,kinestesico,62.3,1,0
9.11,64.15,90.77,9.33,21,medio,no,tarde,auditivo,65.1,1,0
7.96,48.93,39.52,8.61,22,medio,no,noche,visual,74.1,1,0
1.0,50.79,74.47,6.61,18,dificil,no,noche,auditivo,63.0,1,0
14.73,47.64,46.64,7.01,25,dificil,no,manana,visual,65.2,1,0
11.37,74.8,89.3,6.44,25,dificil,si,manana,kinestesico,68.2,1,1
10.79,72.55,100.0,6.81,23,facil,no,tarde,kinestesico,81.1,1,0
1.0,75.16,85.01,10.0,29,facil,no,tarde,lectura_escritura,65.6,1,0
11.17,87.03,100.0,8.93,22,medio,si,noche,visual,79.1,1,1
10.01,85.47,70.42,6.28,25,dificil,no,noche,visual,61.8,1,0
15.22,60.77,84.96,9.5,20,dificil,si,noche,auditivo,73.4,1,1
15.56,53.46,83.29,7.58,20,dificil,si,tarde,kinestesico,69.8,1,1
7.97,69.0,69.07,5.41,19,facil,no,noche,kinestesico,64.4,1,0
10.47,72.21,88.6,6.73,22,dificil,no,tarde,visual,74.6,1,0
15.85,61.62,48.56,7.4,20,medio,si,noche,visual,61.6,1,1
1.92,60.45,100.0,10.0,20,facil,no,tarde,auditivo,66.7,1,0
18.75,92.13,66.16,6.66,23,medio,si,manana,visual,80.7,1,1
10.57,68.85,92.54,6.43,25,facil,si,noche,lectura_escritura,67.6,1,1
12.87,69.04,64.64,4.0,19,medio,no,noche,auditivo,62.9,1,0
6.44,73.67,65.94,7.01,21,medio,no,noche,kinestesico,60.7,1,0
16.35,84.18,73.82,7.1,28,medio,si,tarde,auditivo,80.7,1,1
6.47,63.21,98.09,5.82,24,medio,no,noche,kinestesico,68.8,1,0
11.83,54.33,45.64,5.38,18,dificil,si,manana,visual,67.3,1,1
12.45,73.55,71.75,5.32,18,medio,no,tarde,kinestesico,86.4,1,0
12.94,49.99,59.97,8.97,29,medio,si,noche,visual,69.5,1,1
13.84,94.67,77.09,10.0,27,dificil,no,tarde,auditivo,60.5,1,0
2.59,48.62,100.0,6.84,24,dificil,no,noche,visual,69.2,1,0
22.56,100.0,66.55,5.15,24,facil,si,noche,auditivo,97.5,1,1
3.08,37.45,56.86,4.03,18,medio,no,noche,visual,58.1,0,0
5.54,61.27,65.55,6.27,18,facil,no,tarde,visual,60.4,1,0
6.24,79.04,75.23,7.01,21,facil,no,noche,lectura_escritura,73.7,1,0
4.28,83.61,75.68,7.01,22,medio,no,tarde,visual,63.5,1,0
5.17,50.61,64.3,8.09,22,dificil,no,tarde,kinestesico,69.4,1,0
7.37,60.96,66.88,9.05,21,facil,si,manana,lectura_escritura,64.3,1,1
10.27,66.1,80.88,6.57,25,dificil,si,noche,visual,63.9,1,1
9.96,63.17,78.71,7.01,24,dificil,si,manana,kinestesico,62.5,1,1
11.35,85.03,60.89,8.14,26,dificil,si,noche,visual,68.1,1,1
16.38,73.9,81.62,8.7,24,facil,si,manana,visual,78.3,1,1
6.63,67.64,65.66,7.33,27,dificil,no,tarde,auditivo,59.5,0,0
13.89,80.06,99.31,6.67,18,medio,si,noche,lectura_escritura,80.0,1,1
16.32,66.53,79.89,6.92,24,medio,no,tarde,visual,62.5,1,0
14.1,47.76,93.29,7.01,18,facil,si,manana,auditivo,81.8,1,1
9.87,50.17,48.68,4.2,24,facil,si,manana,auditivo,60.8,1,1
9.28,82.67,64.36,7.52,27,medio,no,noche,lectura_escritura,67.1,1,0
13.59,78.69,74.52,7.53,25,medio,no,manana,visual,96.8,1,0
15.42,64.68,39.76,6.23,28,facil,si,tarde,kinestesico,72.7,1,1
13.76,93.44,87.0,5.02,26,facil,si,noche,kinestesico,79.9,1,1
5.56,73.44,72.76,7.01,29,medio,no,noche,kinestesico,77.1,1,0
17.94,95.58,73.67,7.86,20,facil,si,noche,lectura_escritura,92.8,1,1
9.76,63.12,44.08,6.05,21,dificil,si,noche,kinestesico,61.3,1,1
10.4,69.34,72.86,4.0,21,facil,no,manana,visual,75.0,1,0
8.37,58.12,88.73,6.87,29,facil,no,tarde,auditivo,65.5,1,0
6.97,90.2,96.24,9.94,26,medio,no,tarde,visual,80.8,1,0
12.1,60.91,66.66,4.0,24,medio,no,manana,visual,68.5,1,0
12.69,70.4,69.69,7.01,20,medio,no,tarde,auditivo,73.0,1,0
13.24,86.68,73.27,5.93,27,medio,si,tarde,visual,78.1,1,1
15.95,70.92,89.96,7.2,22,dificil,si,tarde,auditivo,80.0,1,1
9.12,66.87,97.9,5.5,24,medio,no,noche,lectura_escritura,73.4,1,0
13.27,89.21,84.34,9.09,25,facil,si,tarde,visual,72.0,1,1
11.38,65.59,72.96,6.19,18,medio,no,noche,lectura_escritura,64.4,1,0
15.8,100.0,91.75,9.1,29,dificil,si,tarde,auditivo,77.2,1,1
8.33,36.61,57.46,4.82,19,medio,no,tarde,auditivo,60.1,1,0
11.13,77.34,73.37,8.04,24,facil,no,tarde,kinestesico,80.8,1,0
12.43,59.08,86.34,6.65,28,medio,si,manana,visual,62.1,1,1
9.2,98.21,100.0,10.0,19,medio,no,noche,auditivo,76.6,1,0
12.47,73.2,100.0,9.8,24,medio,si,tarde,auditivo,86.0,1,1
16.46,100.0,100.0,8.63,26,facil,no,noche,visual,83.9,1,0
10.88,82.88,71.9,6.13,28,facil,si,noche,lectura_escritura,74.5,1,1
9.74,74.1,58.54,7.01,19,medio,no,manana,kinestesico,72.4,1,0
14.28,92.24,45.19,5.14,24,facil,si,noche,visual,73.8,1,1
10.76,82.03,95.63,7.61,21,medio,si,noche,visual,68.9,1,1
3.33,70.77,100.0,6.68,28,medio,no,noche,auditivo,70.1,1,0
5.69,67.79,92.18,4.6,19,facil,no,noche,visual,60.6,1,0
3.51,63.54,100.0,7.11,24,dificil,no,tarde,auditivo,64.5,1,0
10.94,51.93,64.93,9.15,22,dificil,no,manana,visual,71.4,1,0
15.01,78.73,100.0,7.01,18,medio,no,noche,auditivo,80.3,1,0
8.17,80.73,100.0,8.85,22,facil,no,tarde,visual,86.4,1,0
7.13,32.32,74.37,7.01,29,facil,no,tarde,visual,62.5,1,0
9.39,45.76,75.78,6.42,29,medio,no,noche,kinestesico,75.5,1,0
6.02,71.3,55.53,5.5,20,facil,no,noche,auditivo,65.4,1,0
20.27,96.61,70.88,5.22,24,dificil,si,noche,lectura_escritura,93.9,1,1
6.54,73.59,79.94,7.01,23,facil,no,noche,lectura_escritura,76.0,1,0
8.06,64.32,100.0,6.63,25,medio,no,noche,visual,62.0,1,0
6.46,77.68,61.34,5.15,22,medio,no,noche,visual,68.7,1,0
13.18,65.35,98.49,7.73,19,medio,no,manana,kinestesico,75.4,1,0
14.85,44.25,81.94,7.01,26,facil,no,tarde,lectura_escritura,74.8,1,0
19.97,80.15,100.0,6.37,28,medio,si,tarde,kinestesico,81.1,1,1
7.47,77.47,71.65,8.87,25,facil,no,noche,visual,70.6,1,0
7.16,78.51,64.99,4.28,23,dificil,no,tarde,lectura_escritura,75.6,1,0
3.6,53.53,60.11,7.41,27,facil,no,noche,visual,64.4,1,0
4.37,70.88,70.06,6.72,24,dificil,no,manana,kinestesico,71.9,1,0
3.42,66.83,94.31,6.64,26,dificil,no,tarde,lectura_escritura,63.0,1,0
8.2,73.94,34.34,7.01,24,facil,no,noche,visual,75.0,1,0
18.32,80.3,66.28,4.0,20,medio,si,manana,lectura_escritura,69.7,1,1
4.58,40.86,71.29,4.0,23,facil,no,tarde,visual,55.6,0,0
7.75,60.04,54.88,7.68,28,dificil,no,tarde,lectura_escritura,75.9,1,0
13.34,79.0,95.72,5.9,28,medio,si,tarde,visual,70.1,1,1
12.24,100.0,67.47,7.86,24,medio,si,noche,lectura_escritura,89.9,1,1
12.2,86.75,79.43,4.69,19,medio,no,tarde,visual,76.1,1,0
3.68,65.47,52.95,5.88,20,facil,no,tarde,kinestesico,63.6,1,0
1.58,63.62,78.81,4.0,21,dificil,no,manana,auditivo,52.3,0,0
6.38,67.18,81.83,9.36,27,facil,no,noche,auditivo,70.8,1,0
10.35,95.11,73.42,7.02,23,medio,si,tarde,visual,85.9,1,1
6.58,77.25,94.07,4.11,18,medio,no,noche,kinestesico,81.0,1,0
10.52,58.78,81.41,8.09,26,dificil,no,noche,visual,76.3,1,0
9.91,78.33,57.97,7.01,22,facil,no,manana,auditivo,67.6,1,0
12.85,51.04,60.57,5.8,29,medio,no,noche,visual,75.7,1,0
16.67,60.82,42.49,8.8,24,medio,si,noche,lectura_escritura,76.4,1,1
6.49,88.15,78.2,6.78,26,medio,no,tarde,visual,80.8,1,0
3.84,73.98,68.33,8.43,26,facil,no,manana,visual,69.0,1,0
3.98,75.2,94.47,8.97,18,facil,no,noche,visual,58.7,0,0
12.9,68.96,54.46,5.68,18,facil,si,noche,auditivo,70.1,1,1
6.86,70.62,57.31,7.01,20,medio,si,manana,visual,59.3,0,1
8.39,66.14,100.0,10.0,23,facil,si,tarde,auditivo,80.0,1,1
9.26,82.51,100.0,5.92,19,medio,no,noche,lectura_escritura,84.5,1,0
10.71,80.44,58.32,7.01,27,facil,si,noche,kinestesico,77.0,1,1
11.09,78.95,100.0,6.57,29,dificil,si,noche,auditivo,84.6,1,1
7.91,72.63,96.87,7.01,28,dificil,si,tarde,visual,74.4,1,1
1.0,37.05,24.76,5.72,18,medio,no,noche,kinestesico,40.0,0,0
9.0,78.07,91.25,8.79,18,medio,si,tarde,visual,50.2,0,1
4.88,59.37,86.29,6.73,22,facil,no,noche,kinestesico,65.0,1,0
9.63,51.61,65.21,8.2,21,facil,si,noche,visual,68.3,1,1
11.75,51.37,97.23,8.37,18,facil,no,noche,auditivo,69.4,1,0
9.98,65.0,69.59,5.1,21,medio,no,tarde,visual,61.3,1,0
13.15,59.27,94.63,6.64,20,medio,no,tarde,lectura_escritura,60.4,1,0
7.71,68.4,68.91,6.24,19,dificil,si,noche,visual,65.2,1,1
9.14,85.99,96.5,6.41,26,medio,no,tarde,auditivo,76.2,1,0
9.89,62.02,23.49,7.01,28,medio,no,noche,visual,62.1,1,0
12.7,61.89,73.47,8.57,18,medio,si,noche,kinestesico,82.6,1,1
12.75,84.01,69.38,7.62,24,medio,no,manana,lectura_escritura,63.0,1,0
10.5,65.98,100.0,5.0,21,facil,si,noche,auditivo,82.2,1,1
8.42,59.85,56.09,7.09,22,medio,si,noche,auditivo,71.6,1,1
4.71,52.08,66.93,7.09,27,medio,no,noche,lectura_escritura,68.9,1,0
3.54,76.79,77.59,7.15,22,medio,no,noche,auditivo,63.8,1,0
4.23,40.61,49.27,7.86,18,dificil,no,noche,auditivo,64.7,1,0
10.62,56.79,85.07,6.0,23,medio,si,manana,auditivo,71.8,1,1
5.97,74.73,100.0,5.67,26,facil,no,tarde,kinestesico,70.3,1,0
10.07,46.43,30.48,7.34,19,medio,si,noche,visual,65.7,1,1
10.75,63.99,80.15,6.44,24,medio,no,manana,visual,71.3,1,0
5.81,56.28,82.96,6.91,23,facil,no,manana,auditivo,73.3,1,0
8.0,57.44,80.72,7.02,22,medio,no,noche,visual,53.6,0,0
11.68,76.67,77.14,7.48,21,dificil,no,noche,kinestesico,69.7,1,0
21.83,80.58,84.0,9.34,21,dificil,si,manana,visual,81.4,1,1
10.55,58.17,81.04,7.19,23,facil,no,noche,visual,74.4,1,0
11.21,69.15,78.97,5.46,21,dificil,no,noche,auditivo,77.2,1,0
19.71,100.0,84.45,7.13,22,medio,si,tarde,lectura_escritura,91.8,1,1
